id|date|price|bedrooms|bathrooms|sqft_living|sqft_lot|floors|waterfront|view|condition|grade|sqft_above|sqft_basement|yr_built|yr_renovated|zipcode|lat|long|sqft_living15|sqft_lot15
"2771102158"|"20141021T000000"|395000|3|3.5|1450|1263|"2"|0|0|3|8|1160|290|2007|0|"98199"|47.6508|-122.383|1390|1282
"1498304065"|"20140614T000000"|496752|2|1|1980|5000|"1"|0|0|4|7|1090|890|1923|0|"98144"|47.586|-122.295|1720|5000
"6150200375"|"20141001T000000"|227000|2|1|860|6800|"1"|0|0|3|6|860|0|1943|0|"98133"|47.7274|-122.337|1220|6800
"3343901340"|"20140804T000000"|330000|3|1.75|1460|9261|"1"|0|0|3|7|1460|0|1985|0|"98056"|47.5155|-122.189|1550|8800
"4037800015"|"20150123T000000"|480000|5|2|2590|8610|"1"|0|0|4|7|1340|1250|1958|0|"98008"|47.6112|-122.126|1750|8610
"1626079066"|"20140806T000000"|290000|2|1|1120|217800|"1"|0|0|3|6|1120|0|1976|0|"98019"|47.7378|-121.912|1480|217800
"0006200017"|"20141112T000000"|281000|3|1|1340|21336|"1.5"|0|0|4|5|1340|0|1945|0|"98032"|47.4023|-122.273|1340|37703
"5249805090"|"20150407T000000"|705000|4|1.5|1780|3120|"1.5"|0|3|3|8|1780|0|1926|0|"98118"|47.5589|-122.264|1710|3600
"4217401055"|"20140502T000000"|1.4e+006|4|2.5|2920|4000|"1.5"|0|0|5|8|1910|1010|1909|0|"98105"|47.6578|-122.28|2470|4000
"7738500475"|"20141212T000000"|485000|4|3.25|2820|6611|"1"|0|0|3|7|1410|1410|1958|0|"98155"|47.7473|-122.285|2320|6611
"2767603250"|"20150309T000000"|622000|3|2.25|1550|1919|"3"|0|0|3|8|1550|0|2003|0|"98107"|47.6729|-122.379|1550|2918
"2620069113"|"20140902T000000"|380000|3|2.25|1600|39848|"1"|0|3|4|8|1600|0|1958|0|"98022"|47.1991|-122.013|1600|39848
"3760500336"|"20141126T000000"|2.125e+006|4|2.75|3190|19513|"2"|0|4|4|10|3190|0|1982|0|"98034"|47.6991|-122.235|2750|13496
"5101404563"|"20140627T000000"|561500|3|1.75|1960|6380|"1"|0|0|4|7|980|980|1939|0|"98115"|47.6975|-122.316|1480|6380
"9407000600"|"20140916T000000"|242000|3|1|970|9600|"1"|0|0|3|7|970|0|1972|0|"98045"|47.4451|-121.768|1110|9600
"9353300600"|"20140624T000000"|348500|3|1.5|1360|10726|"1"|0|0|4|7|1360|0|1966|0|"98059"|47.4948|-122.134|1650|10726
"9353300600"|"20150326T000000"|370000|3|1.5|1360|10726|"1"|0|0|4|7|1360|0|1966|0|"98059"|47.4948|-122.134|1650|10726
"0993000090"|"20150414T000000"|752000|6|3.75|3810|6663|"2"|0|0|4|8|3810|0|1977|0|"98103"|47.6938|-122.34|1610|4561
"1796361140"|"20141031T000000"|230000|3|1.75|1340|8250|"1"|0|0|3|7|1100|240|1985|0|"98042"|47.3668|-122.09|1540|7860
"1112000031"|"20150318T000000"|715000|3|2.25|1990|4977|"3"|0|0|3|9|1990|0|2012|0|"98118"|47.5404|-122.268|1280|5000
"2822049160"|"20150417T000000"|240415|3|1.75|1120|10187|"1"|0|0|3|7|1120|0|1968|0|"98198"|47.3694|-122.311|1900|8736
"3856904560"|"20141125T000000"|562000|4|1.75|2060|4080|"1.5"|0|0|3|7|1460|600|1922|1996|"98105"|47.6698|-122.325|1620|4080
"2492200956"|"20140805T000000"|360000|3|1.5|1170|4080|"1"|0|0|5|6|1170|0|1917|0|"98126"|47.5338|-122.381|920|4242
"2770604079"|"20141029T000000"|659950|3|2.5|1610|1246|"2"|0|1|3|9|1080|530|2014|0|"98119"|47.6423|-122.375|1610|1249
"2719100042"|"20140623T000000"|458500|3|2|1890|1599|"2"|0|0|3|9|1430|460|2012|0|"98136"|47.5438|-122.385|1780|1562
"7899800864"|"20150305T000000"|259950|2|2|1070|649|"2"|0|0|3|9|720|350|2008|0|"98106"|47.5213|-122.357|1070|928
