id|date|price|bedrooms|bathrooms|sqft_living|sqft_lot|floors|waterfront|view|condition|grade|sqft_above|sqft_basement|yr_built|yr_renovated|zipcode|lat|long|sqft_living15|sqft_lot15
"2595650100"|"20140630T000000"|359500|4|2.75|2140|10316|"2"|0|0|3|8|2140|0|1993|0|"98001"|47.3537|-122.274|1920|11337
"2616700450"|"20141107T000000"|248000|3|1.75|1330|9831|"1"|0|0|3|7|1330|0|1987|0|"98001"|47.3304|-122.277|1330|7500
"2520900301"|"20141022T000000"|239300|3|1|1070|5750|"1"|0|0|3|7|1070|0|1952|0|"98178"|47.5071|-122.255|1420|6500
"1473200150"|"20141216T000000"|315000|3|2.25|1370|1533|"3"|0|0|3|8|1370|0|2009|0|"98133"|47.7326|-122.343|1370|1125
"1726600150"|"20150226T000000"|970000|4|3|3510|12410|"2"|0|0|4|9|3510|0|1976|0|"98005"|47.6381|-122.166|3000|13209
"9169600110"|"20150317T000000"|510000|3|1.5|1730|6240|"1"|0|1|3|8|1000|730|1954|0|"98136"|47.5282|-122.391|1620|6240
"4036800580"|"20140621T000000"|418000|4|1.5|1550|9176|"1"|0|0|3|7|1000|550|1956|0|"98008"|47.6005|-122.129|1730|8539
"2324800110"|"20140612T000000"|699000|4|2.5|3280|27441|"2"|0|0|3|9|3280|0|1996|0|"98053"|47.6711|-122.012|3200|26960
"7855800910"|"20150321T000000"|871000|4|2.5|2150|8536|"1"|0|3|4|8|1400|750|1967|0|"98006"|47.5663|-122.163|2800|9500
"3625059140"|"20140507T000000"|515000|3|1.75|1580|9147|"1"|0|1|4|7|1210|370|1967|0|"98008"|47.6069|-122.112|2600|23564
"0001200021"|"20140811T000000"|400000|3|1|1460|43000|"1"|0|0|3|7|1460|0|1952|0|"98166"|47.4434|-122.347|2250|20023
"9455200790"|"20141209T000000"|445000|3|1.75|1410|5100|"1"|0|0|4|7|1110|300|1954|0|"98125"|47.7026|-122.29|1600|7800
"2021200530"|"20150225T000000"|1.11e+006|4|2.75|3090|6600|"1"|0|2|3|9|1800|1290|1956|0|"98199"|47.6339|-122.396|2380|5000
"7760600110"|"20141027T000000"|212000|3|1.5|1690|9600|"1"|0|0|3|7|1210|480|1976|0|"98038"|47.3857|-122.079|1450|9647
"9323610110"|"20150112T000000"|710000|4|2.5|2870|11304|"2"|0|0|3|9|2870|0|1980|0|"98006"|47.5547|-122.154|2690|9940
"1612500090"|"20150331T000000"|225800|4|1|1100|7110|"1"|0|0|4|7|880|220|1907|0|"98030"|47.3858|-122.227|1150|7110
"4027700594"|"20141222T000000"|520000|3|1.75|2310|36665|"1"|0|2|3|8|1580|730|1983|0|"98155"|47.7697|-122.274|2000|14000
"1924059254"|"20150508T000000"|1.295e+006|5|3.75|3490|15246|"1"|0|1|4|10|1940|1550|1968|0|"98040"|47.5479|-122.212|3410|15682
"2172000846"|"20140619T000000"|248000|4|2|2080|13510|"1"|0|0|3|7|1040|1040|1950|0|"98178"|47.4918|-122.258|2010|11625
"0514500195"|"20141016T000000"|556000|4|2.5|2230|7200|"1"|0|0|4|7|1220|1010|1957|0|"98005"|47.589|-122.156|1920|7200
"8151600142"|"20150512T000000"|319950|5|1.75|1710|11900|"1"|0|0|3|7|1070|640|1958|0|"98146"|47.506|-122.365|1030|10360
"7950304045"|"20150331T000000"|320000|4|2.75|1640|3000|"1"|0|0|3|7|1000|640|1984|0|"98118"|47.5625|-122.283|1150|4545
"6700390210"|"20140708T000000"|245000|3|2.5|1600|2788|"2"|0|0|4|7|1600|0|1992|0|"98031"|47.4034|-122.187|1720|3605
"2195700230"|"20150203T000000"|700000|3|2.5|2850|36585|"2"|0|0|3|10|2850|0|1987|0|"98072"|47.7376|-122.102|3340|35671
"0558100090"|"20150312T000000"|628000|5|2.75|2600|8160|"2"|0|0|3|8|2600|0|2015|0|"98133"|47.7348|-122.34|1600|8160
"2749600245"|"20140617T000000"|640000|3|2|1380|4800|"1"|0|0|3|7|1380|0|1948|0|"98199"|47.651|-122.369|1740|5640
"1782500065"|"20150428T000000"|420000|4|1.75|1320|4978|"1"|0|0|4|7|940|380|1942|0|"98126"|47.5266|-122.379|1260|4693
"0263000329"|"20141008T000000"|349950|3|2.5|1420|1162|"3"|0|0|3|8|1420|0|2002|0|"98103"|47.6982|-122.349|1430|1560
